IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.65.123.202,4,4,0.00,4.76,0.00,N/A
172.65.188.203,4,4,0.00,4.76,0.00,N/A
172.65.75.199,4,4,0.00,4.76,0.00,N/A
104.19.8.4,4,4,0.00,4.76,0.00,N/A
172.67.198.208,4,4,0.00,4.76,0.00,N/A
104.17.45.54,4,4,0.00,4.76,0.00,N/A
104.21.198.88,4,4,0.00,4.76,0.00,N/A
172.67.120.233,4,4,0.00,4.76,0.00,N/A
104.20.52.18,4,4,0.00,4.76,0.00,N/A
172.65.187.105,4,4,0.00,4.76,0.00,N/A
172.67.247.39,4,4,0.00,4.76,0.00,N/A
162.159.156.40,4,4,0.00,4.77,0.00,N/A
162.159.154.116,4,4,0.00,4.77,0.00,N/A
172.65.246.100,4,4,0.00,4.77,0.00,N/A
172.65.16.62,4,4,0.00,4.77,0.00,N/A
172.65.150.134,4,4,0.00,4.77,0.00,N/A
104.26.14.108,4,4,0.00,4.77,0.00,N/A
172.65.181.111,4,4,0.00,4.77,0.00,N/A
104.16.144.29,4,4,0.00,4.77,0.00,N/A
172.67.176.43,4,4,0.00,4.77,0.00,N/A
172.65.120.203,4,4,0.00,4.77,0.00,N/A
172.65.255.250,4,4,0.00,4.77,0.00,N/A
104.21.92.83,4,4,0.00,4.77,0.00,N/A
104.21.42.214,4,4,0.00,4.77,0.00,N/A
104.21.105.27,4,4,0.00,4.78,0.00,N/A
162.159.206.232,4,4,0.00,4.78,0.00,N/A
172.65.232.12,4,4,0.00,4.78,0.00,N/A
172.65.177.7,4,4,0.00,4.78,0.00,N/A
172.65.190.174,4,4,0.00,4.78,0.00,N/A
104.17.11.71,4,4,0.00,4.78,0.00,N/A
104.21.6.236,4,4,0.00,4.78,0.00,N/A
172.65.148.98,4,4,0.00,4.78,0.00,N/A
172.65.251.235,4,4,0.00,4.78,0.00,N/A
104.16.24.60,4,4,0.00,4.78,0.00,N/A
104.18.80.154,4,4,0.00,4.78,0.00,N/A
172.67.126.151,4,4,0.00,4.78,0.00,N/A
104.21.29.37,4,4,0.00,4.78,0.00,N/A
172.65.125.77,4,4,0.00,4.78,0.00,N/A
172.66.162.66,4,4,0.00,4.78,0.00,N/A
172.65.76.252,4,4,0.00,4.78,0.00,N/A
104.21.228.83,4,4,0.00,4.78,0.00,N/A
172.67.164.54,4,4,0.00,4.78,0.00,N/A
172.67.136.145,4,4,0.00,4.79,0.00,N/A
104.16.175.95,4,4,0.00,4.79,0.00,N/A
104.21.72.95,4,4,0.00,4.79,0.00,N/A
104.24.16.252,4,4,0.00,4.79,0.00,N/A
104.18.175.213,4,4,0.00,4.79,0.00,N/A
104.26.2.132,4,4,0.00,4.79,0.00,N/A
104.21.238.39,4,4,0.00,4.79,0.00,N/A
172.65.40.144,4,4,0.00,4.79,0.00,N/A
172.67.76.232,4,4,0.00,4.79,0.00,N/A
172.65.67.133,4,4,0.00,4.79,0.00,N/A
104.18.99.127,4,4,0.00,4.79,0.00,N/A
172.67.123.134,4,4,0.00,4.79,0.00,N/A
172.64.37.224,4,4,0.00,4.79,0.00,N/A
172.65.198.15,4,4,0.00,4.79,0.00,N/A
172.65.108.62,4,4,0.00,4.80,0.00,N/A
104.16.215.27,4,4,0.00,4.80,0.00,N/A
104.21.82.196,4,4,0.00,4.80,0.00,N/A
104.20.45.153,4,4,0.00,4.80,0.00,N/A
104.20.26.254,4,4,0.00,4.80,0.00,N/A
104.21.31.19,4,4,0.00,4.80,0.00,N/A
172.65.70.103,4,4,0.00,4.80,0.00,N/A
104.20.35.227,4,4,0.00,4.80,0.00,N/A
104.21.205.207,4,4,0.00,4.80,0.00,N/A
172.66.196.149,4,4,0.00,4.80,0.00,N/A
172.65.154.71,4,4,0.00,4.80,0.00,N/A
172.67.125.66,4,4,0.00,4.80,0.00,N/A
141.101.114.250,4,4,0.00,4.80,0.00,N/A
172.67.148.189,4,4,0.00,4.80,0.00,N/A
104.16.48.26,4,4,0.00,4.80,0.00,N/A
104.20.34.174,4,4,0.00,4.81,0.00,N/A
172.65.80.141,4,4,0.00,4.81,0.00,N/A
172.65.227.203,4,4,0.00,4.81,0.00,N/A
172.67.184.3,4,4,0.00,4.81,0.00,N/A
172.66.201.226,4,4,0.00,4.81,0.00,N/A
104.16.70.56,4,4,0.00,4.81,0.00,N/A
172.67.229.237,4,4,0.00,4.81,0.00,N/A
104.21.217.90,4,4,0.00,4.81,0.00,N/A
104.16.41.151,4,4,0.00,4.81,0.00,N/A
104.27.82.189,4,4,0.00,4.81,0.00,N/A
172.65.44.219,4,4,0.00,4.81,0.00,N/A
172.65.60.106,4,4,0.00,4.81,0.00,N/A
172.64.101.46,4,4,0.00,4.81,0.00,N/A
104.24.48.85,4,4,0.00,4.81,0.00,N/A
104.16.133.123,4,4,0.00,4.81,0.00,N/A
104.21.28.241,4,4,0.00,4.81,0.00,N/A
172.64.100.252,4,4,0.00,4.81,0.00,N/A
104.16.113.124,4,4,0.00,4.81,0.00,N/A
172.67.155.24,4,4,0.00,4.82,0.00,N/A
172.65.116.86,4,4,0.00,4.82,0.00,N/A
104.17.42.140,4,4,0.00,4.82,0.00,N/A
104.24.59.254,4,4,0.00,4.82,0.00,N/A
141.101.120.113,4,4,0.00,4.82,0.00,N/A
104.25.232.108,4,4,0.00,4.82,0.00,N/A
104.20.23.222,4,4,0.00,4.82,0.00,N/A
104.20.29.36,4,4,0.00,4.82,0.00,N/A
104.16.137.110,4,4,0.00,4.82,0.00,N/A
141.101.123.232,4,4,0.00,4.82,0.00,N/A
104.24.47.241,4,4,0.00,4.82,0.00,N/A
162.159.152.53,4,4,0.00,4.82,0.00,N/A
172.65.29.45,4,4,0.00,4.82,0.00,N/A
104.21.235.237,4,4,0.00,4.82,0.00,N/A
172.65.253.233,4,4,0.00,4.82,0.00,N/A
162.159.33.85,4,4,0.00,4.82,0.00,N/A
172.65.48.90,4,4,0.00,4.82,0.00,N/A
104.16.213.47,4,4,0.00,4.82,0.00,N/A
172.66.137.58,4,4,0.00,4.82,0.00,N/A
104.16.240.88,4,4,0.00,4.82,0.00,N/A
172.65.174.38,4,4,0.00,4.82,0.00,N/A
172.65.41.157,4,4,0.00,4.82,0.00,N/A
104.21.196.116,4,4,0.00,4.82,0.00,N/A
104.27.200.240,4,4,0.00,4.82,0.00,N/A
104.19.79.230,4,4,0.00,4.82,0.00,N/A
104.27.203.205,4,4,0.00,4.83,0.00,N/A
172.65.121.20,4,4,0.00,4.83,0.00,N/A
172.65.205.79,4,4,0.00,4.83,0.00,N/A
104.21.69.72,4,4,0.00,4.83,0.00,N/A
104.18.87.29,4,4,0.00,4.83,0.00,N/A
172.67.66.3,4,4,0.00,4.83,0.00,N/A
172.65.138.105,4,4,0.00,4.83,0.00,N/A
172.65.140.250,4,4,0.00,4.83,0.00,N/A
172.65.42.134,4,4,0.00,4.83,0.00,N/A
141.101.113.160,4,4,0.00,4.83,0.00,N/A
172.66.213.217,4,4,0.00,4.83,0.00,N/A
172.65.159.111,4,4,0.00,4.83,0.00,N/A
104.20.46.55,4,4,0.00,4.83,0.00,N/A
104.18.97.90,4,4,0.00,4.83,0.00,N/A
104.24.12.0,4,4,0.00,4.83,0.00,N/A
162.159.137.103,4,4,0.00,4.83,0.00,N/A
104.18.8.139,4,4,0.00,4.83,0.00,N/A
172.65.111.124,4,4,0.00,4.83,0.00,N/A
172.65.143.97,4,4,0.00,4.83,0.00,N/A
172.65.20.165,4,4,0.00,4.83,0.00,N/A
172.67.140.143,4,4,0.00,4.83,0.00,N/A
104.27.74.101,4,4,0.00,4.83,0.00,N/A
172.65.95.65,4,4,0.00,4.83,0.00,N/A
172.67.167.91,4,4,0.00,4.83,0.00,N/A
104.19.97.165,4,4,0.00,4.83,0.00,N/A
104.21.60.94,4,4,0.00,4.83,0.00,N/A
172.65.50.219,4,4,0.00,4.83,0.00,N/A
104.24.81.194,4,4,0.00,4.83,0.00,N/A
162.159.151.156,4,4,0.00,4.84,0.00,N/A
172.67.195.115,4,4,0.00,4.84,0.00,N/A
104.26.15.163,4,4,0.00,4.84,0.00,N/A
104.21.220.216,4,4,0.00,4.84,0.00,N/A
104.16.49.100,4,4,0.00,4.84,0.00,N/A
104.20.55.187,4,4,0.00,4.84,0.00,N/A
104.24.22.53,4,4,0.00,4.84,0.00,N/A
172.65.204.61,4,4,0.00,4.84,0.00,N/A
162.159.230.43,4,4,0.00,4.84,0.00,N/A
104.27.80.168,4,4,0.00,4.84,0.00,N/A
172.67.133.67,4,4,0.00,4.84,0.00,N/A
172.65.101.188,4,4,0.00,4.84,0.00,N/A
104.18.221.237,4,4,0.00,4.84,0.00,N/A
172.67.177.80,4,4,0.00,4.84,0.00,N/A
172.65.203.232,4,4,0.00,4.84,0.00,N/A
104.21.30.219,4,4,0.00,4.84,0.00,N/A
104.18.119.114,4,4,0.00,4.84,0.00,N/A
104.16.90.124,4,4,0.00,4.84,0.00,N/A
162.159.50.247,4,4,0.00,4.84,0.00,N/A
162.159.159.95,4,4,0.00,4.84,0.00,N/A
172.65.206.65,4,4,0.00,4.84,0.00,N/A
104.21.26.139,4,4,0.00,4.84,0.00,N/A
172.67.254.172,4,4,0.00,4.84,0.00,N/A
172.66.159.209,4,4,0.00,4.84,0.00,N/A
104.17.125.23,4,4,0.00,4.84,0.00,N/A
172.65.215.191,4,4,0.00,4.84,0.00,N/A
104.25.192.112,4,4,0.00,4.84,0.00,N/A
104.24.50.140,4,4,0.00,4.84,0.00,N/A
104.21.225.52,4,4,0.00,4.84,0.00,N/A
104.16.59.254,4,4,0.00,4.84,0.00,N/A
104.18.104.67,4,4,0.00,4.84,0.00,N/A
104.24.79.211,4,4,0.00,4.84,0.00,N/A
172.66.156.102,4,4,0.00,4.84,0.00,N/A
104.25.215.127,4,4,0.00,4.84,0.00,N/A
104.25.189.109,4,4,0.00,4.84,0.00,N/A
172.67.71.244,4,4,0.00,4.85,0.00,N/A
104.21.12.23,4,4,0.00,4.85,0.00,N/A
172.65.7.88,4,4,0.00,4.85,0.00,N/A
104.21.61.194,4,4,0.00,4.85,0.00,N/A
172.65.28.101,4,4,0.00,4.85,0.00,N/A
172.65.132.93,4,4,0.00,4.85,0.00,N/A
172.65.124.9,4,4,0.00,4.85,0.00,N/A
172.65.149.125,4,4,0.00,4.85,0.00,N/A
104.16.19.126,4,4,0.00,4.85,0.00,N/A
162.159.155.58,4,4,0.00,4.85,0.00,N/A
172.65.171.22,4,4,0.00,4.85,0.00,N/A
172.65.185.180,4,4,0.00,4.85,0.00,N/A
172.65.78.86,4,4,0.00,4.85,0.00,N/A
173.245.59.212,4,4,0.00,4.85,0.00,N/A
172.65.137.109,4,4,0.00,4.85,0.00,N/A
104.19.147.147,4,4,0.00,4.85,0.00,N/A
172.66.207.114,4,4,0.00,4.85,0.00,N/A
172.65.126.213,4,4,0.00,4.85,0.00,N/A
162.159.46.102,4,4,0.00,4.85,0.00,N/A
172.65.231.10,4,4,0.00,4.85,0.00,N/A
104.19.134.143,4,4,0.00,4.85,0.00,N/A
104.21.110.221,4,4,0.00,4.85,0.00,N/A
172.67.102.66,4,4,0.00,4.85,0.00,N/A
172.65.220.218,4,4,0.00,4.85,0.00,N/A
104.18.89.129,4,4,0.00,4.86,0.00,N/A
104.18.16.231,4,4,0.00,4.86,0.00,N/A
104.21.213.179,4,4,0.00,4.86,0.00,N/A
172.64.146.192,4,4,0.00,4.86,0.00,N/A
172.67.146.194,4,4,0.00,4.86,0.00,N/A
104.20.44.114,4,4,0.00,4.86,0.00,N/A
162.159.24.78,4,4,0.00,4.86,0.00,N/A
104.27.118.216,4,4,0.00,4.86,0.00,N/A
104.25.141.126,4,4,0.00,4.86,0.00,N/A
104.16.220.57,4,4,0.00,4.86,0.00,N/A
172.65.115.135,4,4,0.00,4.86,0.00,N/A
104.16.208.212,4,4,0.00,4.86,0.00,N/A
172.65.96.175,4,4,0.00,4.86,0.00,N/A
104.18.46.91,4,4,0.00,4.86,0.00,N/A
172.66.202.84,4,4,0.00,4.86,0.00,N/A
104.19.22.190,4,4,0.00,4.86,0.00,N/A
172.65.30.185,4,4,0.00,4.86,0.00,N/A
172.65.217.121,4,4,0.00,4.86,0.00,N/A
104.19.222.50,4,4,0.00,4.86,0.00,N/A
172.65.34.246,4,4,0.00,4.86,0.00,N/A
104.27.86.210,4,4,0.00,4.86,0.00,N/A
172.67.183.71,4,4,0.00,4.86,0.00,N/A
104.24.73.107,4,4,0.00,4.86,0.00,N/A
172.65.236.189,4,4,0.00,4.86,0.00,N/A
104.24.51.47,4,4,0.00,4.86,0.00,N/A
104.16.254.61,4,4,0.00,4.86,0.00,N/A
104.18.171.221,4,4,0.00,4.86,0.00,N/A
162.159.93.224,4,4,0.00,4.86,0.00,N/A
172.67.239.194,4,4,0.00,4.86,0.00,N/A
172.67.211.191,4,4,0.00,4.86,0.00,N/A
104.17.47.203,4,4,0.00,4.86,0.00,N/A
172.65.66.27,4,4,0.00,4.86,0.00,N/A
104.17.2.139,4,4,0.00,4.86,0.00,N/A
172.67.84.9,4,4,0.00,4.86,0.00,N/A
104.18.165.144,4,4,0.00,4.86,0.00,N/A
172.66.134.42,4,4,0.00,4.86,0.00,N/A
104.27.23.216,4,4,0.00,4.86,0.00,N/A
104.16.22.18,4,4,0.00,4.86,0.00,N/A
104.21.56.204,4,4,0.00,4.86,0.00,N/A
172.64.53.55,4,4,0.00,4.86,0.00,N/A
104.21.35.44,4,4,0.00,4.86,0.00,N/A
104.21.27.226,4,4,0.00,4.87,0.00,N/A
172.67.241.133,4,4,0.00,4.87,0.00,N/A
162.159.145.248,4,4,0.00,4.87,0.00,N/A
104.16.250.234,4,4,0.00,4.87,0.00,N/A
172.67.70.185,4,4,0.00,4.87,0.00,N/A
172.65.146.21,4,4,0.00,4.87,0.00,N/A
172.67.169.254,4,4,0.00,4.87,0.00,N/A
198.41.203.225,4,4,0.00,4.87,0.00,N/A
172.65.90.178,4,4,0.00,4.87,0.00,N/A
172.65.21.223,4,4,0.00,4.87,0.00,N/A
172.64.66.64,4,4,0.00,4.87,0.00,N/A
104.17.83.233,4,4,0.00,4.87,0.00,N/A
172.65.142.23,4,4,0.00,4.87,0.00,N/A
172.67.192.199,4,4,0.00,4.87,0.00,N/A
104.16.85.84,4,4,0.00,4.87,0.00,N/A
172.65.118.139,4,4,0.00,4.87,0.00,N/A
104.21.17.232,4,4,0.00,4.87,0.00,N/A
172.65.17.252,4,4,0.00,4.87,0.00,N/A
172.67.185.31,4,4,0.00,4.87,0.00,N/A
104.26.13.80,4,4,0.00,4.87,0.00,N/A
162.159.134.99,4,4,0.00,4.87,0.00,N/A
104.21.25.176,4,4,0.00,4.87,0.00,N/A
172.65.234.254,4,4,0.00,4.87,0.00,N/A
104.18.229.193,4,4,0.00,4.87,0.00,N/A
162.159.27.25,4,4,0.00,4.87,0.00,N/A
162.159.196.188,4,4,0.00,4.87,0.00,N/A
104.24.38.31,4,4,0.00,4.87,0.00,N/A
172.67.161.0,4,4,0.00,4.87,0.00,N/A
104.27.125.78,4,4,0.00,4.87,0.00,N/A
172.67.114.10,4,4,0.00,4.87,0.00,N/A
104.19.24.141,4,4,0.00,4.87,0.00,N/A
172.65.0.223,4,4,0.00,4.87,0.00,N/A
172.65.135.104,4,4,0.00,4.87,0.00,N/A
108.162.196.175,4,4,0.00,4.87,0.00,N/A
162.159.207.59,4,4,0.00,4.87,0.00,N/A
172.65.110.52,4,4,0.00,4.87,0.00,N/A
104.21.52.69,4,4,0.00,4.87,0.00,N/A
104.21.15.190,4,4,0.00,4.87,0.00,N/A
104.17.94.167,4,4,0.00,4.87,0.00,N/A
104.17.61.143,4,4,0.00,4.87,0.00,N/A
104.18.154.209,4,4,0.00,4.87,0.00,N/A
104.24.39.108,4,4,0.00,4.88,0.00,N/A
172.65.54.76,4,4,0.00,4.88,0.00,N/A
172.67.168.36,4,4,0.00,4.88,0.00,N/A
104.21.208.37,4,4,0.00,4.88,0.00,N/A
104.27.102.134,4,4,0.00,4.88,0.00,N/A
172.65.2.143,4,4,0.00,4.88,0.00,N/A
162.159.138.55,4,4,0.00,4.88,0.00,N/A
104.24.53.148,4,4,0.00,4.88,0.00,N/A
104.27.44.50,4,4,0.00,4.88,0.00,N/A
108.162.194.85,4,4,0.00,4.88,0.00,N/A
172.66.198.59,4,4,0.00,4.88,0.00,N/A
104.18.181.200,4,4,0.00,4.88,0.00,N/A
104.19.47.64,4,4,0.00,4.88,0.00,N/A
104.27.111.22,4,4,0.00,4.88,0.00,N/A
162.159.26.28,4,4,0.00,4.88,0.00,N/A
172.65.88.228,4,4,0.00,4.88,0.00,N/A
104.16.126.3,4,4,0.00,4.88,0.00,N/A
104.27.37.111,4,4,0.00,4.88,0.00,N/A
104.16.86.112,4,4,0.00,4.88,0.00,N/A
104.21.50.131,4,4,0.00,4.88,0.00,N/A
104.21.222.56,4,4,0.00,4.88,0.00,N/A
104.17.36.159,4,4,0.00,4.88,0.00,N/A
104.21.237.247,4,4,0.00,4.88,0.00,N/A
104.27.52.77,4,4,0.00,4.88,0.00,N/A
104.21.33.16,4,4,0.00,4.88,0.00,N/A
104.20.33.40,4,4,0.00,4.88,0.00,N/A
104.21.46.64,4,4,0.00,4.88,0.00,N/A
104.21.63.137,4,4,0.00,4.88,0.00,N/A
104.24.58.30,4,4,0.00,4.88,0.00,N/A
104.21.11.246,4,4,0.00,4.88,0.00,N/A
104.20.30.217,4,4,0.00,4.88,0.00,N/A
104.18.228.159,4,4,0.00,4.88,0.00,N/A
104.16.177.207,4,4,0.00,4.88,0.00,N/A
172.67.149.175,4,4,0.00,4.88,0.00,N/A
172.67.205.101,4,4,0.00,4.89,0.00,N/A
172.67.117.16,4,4,0.00,4.89,0.00,N/A
172.65.141.124,4,4,0.00,4.89,0.00,N/A
104.16.55.115,4,4,0.00,4.89,0.00,N/A
104.16.58.91,4,4,0.00,4.89,0.00,N/A
104.19.223.21,4,4,0.00,4.89,0.00,N/A
104.19.235.64,4,4,0.00,4.89,0.00,N/A
104.16.44.74,4,4,0.00,4.89,0.00,N/A
172.67.107.219,4,4,0.00,4.89,0.00,N/A
104.20.19.102,4,4,0.00,4.89,0.00,N/A
104.27.30.156,4,4,0.00,4.89,0.00,N/A
104.16.93.246,4,4,0.00,4.89,0.00,N/A
162.159.157.218,4,4,0.00,4.89,0.00,N/A
104.25.179.1,4,4,0.00,4.89,0.00,N/A
104.20.41.71,4,4,0.00,4.89,0.00,N/A
172.65.199.25,4,4,0.00,4.89,0.00,N/A
104.18.27.222,4,4,0.00,4.89,0.00,N/A
172.67.75.45,4,4,0.00,4.89,0.00,N/A
172.66.217.195,4,4,0.00,4.89,0.00,N/A
162.159.205.226,4,4,0.00,4.89,0.00,N/A
104.21.214.137,4,4,0.00,4.89,0.00,N/A
104.16.107.237,4,4,0.00,4.89,0.00,N/A
104.17.39.164,4,4,0.00,4.89,0.00,N/A
162.159.48.198,4,4,0.00,4.89,0.00,N/A
172.65.36.177,4,4,0.00,4.89,0.00,N/A
104.18.79.237,4,4,0.00,4.89,0.00,N/A
104.18.201.115,4,4,0.00,4.89,0.00,N/A
172.65.74.13,4,4,0.00,4.89,0.00,N/A
172.64.190.254,4,4,0.00,4.89,0.00,N/A
172.66.214.225,4,4,0.00,4.89,0.00,N/A
172.64.234.80,4,4,0.00,4.89,0.00,N/A
104.18.90.225,4,4,0.00,4.89,0.00,N/A
172.65.32.124,4,4,0.00,4.89,0.00,N/A
104.16.169.2,4,4,0.00,4.89,0.00,N/A
104.16.100.90,4,4,0.00,4.89,0.00,N/A
104.21.23.35,4,4,0.00,4.89,0.00,N/A
172.65.195.33,4,4,0.00,4.89,0.00,N/A
162.159.149.210,4,4,0.00,4.89,0.00,N/A
104.18.189.24,4,4,0.00,4.89,0.00,N/A
104.21.236.207,4,4,0.00,4.89,0.00,N/A
172.65.68.90,4,4,0.00,4.89,0.00,N/A
172.65.71.120,4,4,0.00,4.89,0.00,N/A
162.159.131.125,4,4,0.00,4.89,0.00,N/A
172.66.135.135,4,4,0.00,4.89,0.00,N/A
104.18.218.189,4,4,0.00,4.89,0.00,N/A
172.67.255.85,4,4,0.00,4.89,0.00,N/A
172.67.79.132,4,4,0.00,4.89,0.00,N/A
104.19.87.100,4,4,0.00,4.89,0.00,N/A
104.19.68.93,4,4,0.00,4.89,0.00,N/A
162.159.90.26,4,4,0.00,4.89,0.00,N/A
172.67.172.75,4,4,0.00,4.89,0.00,N/A
104.16.63.71,4,4,0.00,4.89,0.00,N/A
104.16.118.143,4,4,0.00,4.89,0.00,N/A
104.20.38.114,4,4,0.00,4.89,0.00,N/A
172.67.116.109,4,4,0.00,4.90,0.00,N/A
104.16.127.195,4,4,0.00,4.90,0.00,N/A
172.67.144.125,4,4,0.00,4.90,0.00,N/A
104.16.174.169,4,4,0.00,4.90,0.00,N/A
172.67.156.218,4,4,0.00,4.90,0.00,N/A
104.18.159.18,4,4,0.00,4.90,0.00,N/A
141.101.122.26,4,4,0.00,4.90,0.00,N/A
172.65.224.66,4,4,0.00,4.90,0.00,N/A
104.20.51.243,4,4,0.00,4.90,0.00,N/A
104.19.9.10,4,4,0.00,4.90,0.00,N/A
104.16.52.148,4,4,0.00,4.90,0.00,N/A
104.21.85.189,4,4,0.00,4.90,0.00,N/A
172.64.159.17,4,4,0.00,4.90,0.00,N/A
104.16.103.150,4,4,0.00,4.90,0.00,N/A
104.19.248.210,4,4,0.00,4.90,0.00,N/A
172.64.188.221,4,4,0.00,4.90,0.00,N/A
104.18.98.216,4,4,0.00,4.90,0.00,N/A
104.26.9.78,4,4,0.00,4.90,0.00,N/A
172.67.214.44,4,4,0.00,4.90,0.00,N/A
172.67.141.190,4,4,0.00,4.90,0.00,N/A
104.21.88.218,4,4,0.00,4.90,0.00,N/A
104.27.194.51,4,4,0.00,4.90,0.00,N/A
172.65.35.223,4,4,0.00,4.90,0.00,N/A
162.159.25.139,4,4,0.00,4.90,0.00,N/A
172.66.128.16,4,4,0.00,4.90,0.00,N/A
104.19.131.76,4,4,0.00,4.90,0.00,N/A
172.65.100.219,4,4,0.00,4.90,0.00,N/A
104.18.170.15,4,4,0.00,4.90,0.00,N/A
104.17.20.99,4,4,0.00,4.90,0.00,N/A
172.67.237.33,4,4,0.00,4.90,0.00,N/A
172.65.201.6,4,4,0.00,4.90,0.00,N/A
172.65.9.182,4,4,0.00,4.90,0.00,N/A
104.16.153.80,4,4,0.00,4.90,0.00,N/A
104.24.176.162,4,4,0.00,4.90,0.00,N/A
172.65.210.171,4,4,0.00,4.90,0.00,N/A
172.65.245.112,4,4,0.00,4.90,0.00,N/A
104.16.235.133,4,4,0.00,4.90,0.00,N/A
172.65.24.204,4,4,0.00,4.90,0.00,N/A
162.159.135.238,4,4,0.00,4.90,0.00,N/A
104.25.182.191,4,4,0.00,4.90,0.00,N/A
104.27.76.8,4,4,0.00,4.90,0.00,N/A
162.159.142.179,4,4,0.00,4.90,0.00,N/A
172.65.247.182,4,4,0.00,4.90,0.00,N/A
108.162.192.34,4,4,0.00,4.91,0.00,N/A
172.67.203.113,4,4,0.00,4.91,0.00,N/A
104.18.222.80,4,4,0.00,4.91,0.00,N/A
104.18.73.211,4,4,0.00,4.91,0.00,N/A
172.67.115.223,4,4,0.00,4.91,0.00,N/A
104.18.132.129,4,4,0.00,4.91,0.00,N/A
172.65.27.209,4,4,0.00,4.91,0.00,N/A
104.24.29.114,4,4,0.00,4.91,0.00,N/A
104.18.127.163,4,4,0.00,4.91,0.00,N/A
172.64.152.191,4,4,0.00,4.91,0.00,N/A
104.18.100.146,4,4,0.00,4.91,0.00,N/A
172.66.194.105,4,4,0.00,4.91,0.00,N/A
104.20.22.237,4,4,0.00,4.91,0.00,N/A
172.67.103.229,4,4,0.00,4.91,0.00,N/A
104.18.72.94,4,4,0.00,4.91,0.00,N/A
172.67.101.158,4,4,0.00,4.91,0.00,N/A
104.27.119.102,4,4,0.00,4.91,0.00,N/A
172.65.3.85,4,4,0.00,4.91,0.00,N/A
104.20.27.83,4,4,0.00,4.91,0.00,N/A
104.18.45.88,4,4,0.00,4.91,0.00,N/A
104.27.202.186,4,4,0.00,4.91,0.00,N/A
104.24.19.248,4,4,0.00,4.91,0.00,N/A
